Start Date,End Date,Duration (hours),Wind (GWh),Solar (GWh),Total Generated,RES
05/02/2015,01/05/2015,2039.75,483.219,0,2161.828,3
06/02/2015,01/05/2015,1996.75,483.219,0,2161.828,3
08/02/2015,01/05/2015,1961,483.219,0,2161.828,3
09/02/2015,01/05/2015,1940,483.219,0,2161.828,3
08/03/2015,08/03/2015,3.5,593.505,0,2320.946,3
29/04/2015,30/04/2015,11,377.211,0,2075.905,2
29/04/2015,30/04/2015,11,377.211,0,2075.905,2
29/04/2015,30/04/2015,10.75,377.211,0,2075.905,2
29/04/2015,30/04/2015,10.75,377.211,0,2075.905,2
29/04/2015,30/04/2015,9.75,377.211,0,2075.905,2
29/04/2015,30/04/2015,5.75,377.211,0,2075.905,2
29/04/2015,30/04/2015,5,377.211,0,2075.905,2
29/04/2015,30/04/2015,5,377.211,0,2075.905,2
29/04/2015,01/05/2015,27.25,377.211,0,2075.905,2
30/04/2015,01/05/2015,22.75,377.211,0,2075.905,2
30/04/2015,01/05/2015,16,377.211,0,2075.905,2
30/04/2015,01/05/2015,15,377.211,0,2075.905,2
30/04/2015,01/05/2015,14,377.211,0,2075.905,2
30/04/2015,01/05/2015,14,377.211,0,2075.905,2
30/04/2015,30/04/2015,4,377.211,0,2075.905,2
30/04/2015,01/05/2015,13.75,377.211,0,2075.905,2
30/04/2015,01/05/2015,13,377.211,0,2075.905,2
30/04/2015,01/05/2015,11.75,377.211,0,2075.905,2
30/04/2015,01/05/2015,11.75,377.211,0,2075.905,2
30/04/2015,01/05/2015,10,377.211,0,2075.905,2
30/04/2015,01/05/2015,9,377.211,0,2075.905,2
30/04/2015,01/05/2015,8,377.211,0,2075.905,2
30/04/2015,02/05/2015,27,377.211,0,2075.905,2
30/04/2015,02/05/2015,26.75,377.211,0,2075.905,2
01/05/2015,02/05/2015,16,589.143,0,2142.645,3
01/05/2015,02/05/2015,16,589.143,0,2142.645,3
01/05/2015,02/05/2015,14,589.143,0,2142.645,3
01/05/2015,02/05/2015,8,589.143,0,2142.645,3
01/05/2015,02/05/2015,6,589.143,0,2142.645,3
02/05/2015,03/05/2015,16,589.143,0,2142.645,3
02/05/2015,03/05/2015,12.75,589.143,0,2142.645,3
02/05/2015,03/05/2015,9,589.143,0,2142.645,3
02/05/2015,03/05/2015,8,589.143,0,2142.645,3
02/05/2015,03/05/2015,6,589.143,0,2142.645,3
03/05/2015,04/05/2015,16,589.143,0,2142.645,3
03/05/2015,04/05/2015,15.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,13.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,12,589.143,0,2142.645,3
03/05/2015,04/05/2015,12,589.143,0,2142.645,3
03/05/2015,04/05/2015,10.25,589.143,0,2142.645,3
03/05/2015,04/05/2015,4.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,4.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,4.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,4.75,589.143,0,2142.645,3
03/05/2015,04/05/2015,4,589.143,0,2142.645,3
03/05/2015,04/05/2015,3.75,589.143,0,2142.645,3
03/05/2015,05/05/2015,27,589.143,0,2142.645,3
03/05/2015,05/05/2015,26.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,22.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,22.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,20.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,19,589.143,0,2142.645,3
04/05/2015,05/05/2015,17,589.143,0,2142.645,3
04/05/2015,05/05/2015,15,589.143,0,2142.645,3
04/05/2015,05/05/2015,14.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,14.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,13,589.143,0,2142.645,3
04/05/2015,05/05/2015,12.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,9.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,8,589.143,0,2142.645,3
04/05/2015,05/05/2015,8,589.143,0,2142.645,3
04/05/2015,05/05/2015,5.75,589.143,0,2142.645,3
04/05/2015,05/05/2015,5,589.143,0,2142.645,3
05/05/2015,06/05/2015,18,589.143,0,2142.645,3
05/05/2015,06/05/2015,16.75,589.143,0,2142.645,3
05/05/2015,06/05/2015,14.25,589.143,0,2142.645,3
05/05/2015,06/05/2015,13,589.143,0,2142.645,3
05/05/2015,06/05/2015,13,589.143,0,2142.645,3
05/05/2015,06/05/2015,12.25,589.143,0,2142.645,3
05/05/2015,06/05/2015,12.25,589.143,0,2142.645,3
05/05/2015,06/05/2015,11,589.143,0,2142.645,3
05/05/2015,06/05/2015,9.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,9.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,9.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,9.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,9.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,9,589.143,0,2142.645,3
05/05/2015,06/05/2015,6.75,589.143,0,2142.645,3
05/05/2015,06/05/2015,6.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,6.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,6,589.143,0,2142.645,3
05/05/2015,06/05/2015,6,589.143,0,2142.645,3
05/05/2015,06/05/2015,5,589.143,0,2142.645,3
05/05/2015,06/05/2015,4.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,4.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,4.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,4.5,589.143,0,2142.645,3
05/05/2015,06/05/2015,3.75,589.143,0,2142.645,3
05/05/2015,06/05/2015,3.75,589.143,0,2142.645,3
