Start Date,End Date,Duration (hours),Max Temperature (C),Min Temperature (C),Mean Wind Speed (knot),Global Radiation (j/cm sq.),Relative Humidity (%),Max Temperarture Rarity,Min Temperature Rarity,Mean Wind Speed Rarity,Global Radiation Rarity,Relative Humidity Rarity
05/02/2015,01/05/2015,2039.75,7.76,-0.02,4.98,473.6,86.2,1.045,0.495,1.147,3.144,2.7
06/02/2015,01/05/2015,1996.75,6.56,2.12,4.18,272.2,86.2,0.556,1.794,0.428,1.843,2.7
08/02/2015,01/05/2015,1961,4.3,-0.42,4.78,343.4,95.8,0.071,0.387,0.972,2.43,0.046
09/02/2015,01/05/2015,1940,5.86,2.24,5.1,213,89,0.342,1.867,1.228,1.343,1.38
08/03/2015,08/03/2015,3.5,10.86,2.16,10.16,1002.2,72.4,2.998,1.815,3.311,4.344,0.803
29/04/2015,30/04/2015,11,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,11,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,10.75,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,10.75,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,9.75,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,5.75,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,5,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,30/04/2015,5,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
29/04/2015,01/05/2015,27.25,11.34,2.28,12.6,2015.4,76.6,3.405,1.903,1.633,0.97,1.976
30/04/2015,01/05/2015,22.75,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,16,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,15,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,14,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,14,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,30/04/2015,4,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,13.75,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,13,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
30/04/2015,01/05/2015,11.75,12.98,2.28,6.12,2056,72.6,4.75,1.903,2.318,0.904,0.849
