Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
,,,12/02/2014,Darwin,Hurricane,
05/02/2015,01/05/2015 01:00,2039.75,,,,
06/02/2015,01/05/2015 01:00,1996.75,,,,
08/02/2015,01/05/2015 01:00,1961,,,,
09/02/2015,01/05/2015 01:00,1940,,,,
08/03/2015,08/03/2015 16:30,3.5,,,,
29/04/2015,30/04/2015 01:00,11,,,,
29/04/2015,30/04/2015 01:00,11,,,,
29/04/2015,30/04/2015 01:00,10.75,,,,
29/04/2015,30/04/2015 01:00,10.75,,,,
29/04/2015,30/04/2015 01:00,9.75,,,,
29/04/2015,30/04/2015 01:00,5.75,,,,
29/04/2015,30/04/2015 01:00,5,,,,
29/04/2015,30/04/2015 01:00,5,,,,
29/04/2015,01/05/2015 01:00,27.25,,,,
30/04/2015,01/05/2015 01:00,22.75,,,,
30/04/2015,01/05/2015 01:00,16,,,,
30/04/2015,01/05/2015 01:00,15,,,,
30/04/2015,01/05/2015 01:00,14,,,,
30/04/2015,01/05/2015 01:00,14,,,,
30/04/2015,30/04/2015 15:15,4,,,,
30/04/2015,01/05/2015 01:00,13.75,,,,
30/04/2015,01/05/2015 01:00,13,,,,
30/04/2015,01/05/2015 01:00,11.75,,,,
30/04/2015,01/05/2015 01:00,11.75,,,,
30/04/2015,01/05/2015 01:00,10,,,,
30/04/2015,01/05/2015 01:00,9,,,,
30/04/2015,01/05/2015 01:00,8,,,,
30/04/2015,02/05/2015 01:00,27,,,,
30/04/2015,02/05/2015 01:00,26.75,,,,
01/05/2015,02/05/2015 01:00,16,,,,
01/05/2015,02/05/2015 01:00,16,,,,
01/05/2015,02/05/2015 01:00,14,,,,
01/05/2015,02/05/2015 01:00,8,,,,
01/05/2015,02/05/2015 01:00,6,,,,
02/05/2015,03/05/2015 01:00,16,,,,
02/05/2015,03/05/2015 01:00,12.75,,,,
02/05/2015,03/05/2015 01:00,9,,,,
02/05/2015,03/05/2015 01:00,8,,,,
02/05/2015,03/05/2015 01:00,6,,,,
03/05/2015,04/05/2015 01:00,16,,,,
03/05/2015,04/05/2015 01:00,15.75,,,,
03/05/2015,04/05/2015 01:00,13.75,,,,
03/05/2015,04/05/2015 01:00,12,,,,
03/05/2015,04/05/2015 01:00,12,,,,
03/05/2015,04/05/2015 01:00,10.25,,,,
03/05/2015,04/05/2015 01:00,4.75,,,,
03/05/2015,04/05/2015 01:00,4.75,,,,
03/05/2015,04/05/2015 01:00,4.75,,,,
03/05/2015,04/05/2015 01:00,4.75,,,,
03/05/2015,04/05/2015 01:00,4,,,,
03/05/2015,04/05/2015 01:00,3.75,,,,
03/05/2015,05/05/2015 01:00,27,,,,
03/05/2015,05/05/2015 01:00,26.75,,,,
04/05/2015,05/05/2015 01:00,22.75,,,,
04/05/2015,05/05/2015 01:00,22.75,,,,
04/05/2015,05/05/2015 01:00,20.75,,,,
04/05/2015,05/05/2015 01:00,19,,,,
04/05/2015,05/05/2015 01:00,17,,,,
04/05/2015,05/05/2015 01:00,15,,,,
04/05/2015,05/05/2015 01:00,14.75,,,,
04/05/2015,05/05/2015 01:00,14.75,,,,
04/05/2015,05/05/2015 01:00,13,,,,
04/05/2015,05/05/2015 01:00,12.75,,,,
04/05/2015,05/05/2015 01:00,9.75,,,,
04/05/2015,05/05/2015 01:00,8,,,,
04/05/2015,05/05/2015 01:00,8,,,,
04/05/2015,05/05/2015 01:00,5.75,,,,
04/05/2015,05/05/2015 01:00,5,,,,
05/05/2015,06/05/2015 01:00,18,,,,
05/05/2015,06/05/2015 01:00,16.75,,,,
05/05/2015,06/05/2015 01:00,14.25,,,,
05/05/2015,06/05/2015 01:00,13,,,,
05/05/2015,06/05/2015 01:00,13,,,,
05/05/2015,06/05/2015 01:00,12.25,,,,
05/05/2015,06/05/2015 01:00,12.25,,,,
05/05/2015,06/05/2015 01:00,11,,,,
05/05/2015,06/05/2015 01:00,9.5,,,,
05/05/2015,06/05/2015 01:00,9.5,,,,
05/05/2015,06/05/2015 01:00,9.5,,,,
05/05/2015,06/05/2015 01:00,9.5,,,,
05/05/2015,06/05/2015 01:00,9.5,,,,
05/05/2015,06/05/2015 01:00,9,,,,
05/05/2015,06/05/2015 01:00,6.75,,,,
05/05/2015,06/05/2015 01:00,6.5,,,,
05/05/2015,06/05/2015 01:00,6.5,,,,
05/05/2015,06/05/2015 01:00,6,,,,
05/05/2015,06/05/2015 01:00,6,,,,
05/05/2015,06/05/2015 01:00,5,,,,
05/05/2015,06/05/2015 01:00,4.5,,,,
05/05/2015,06/05/2015 01:00,4.5,,,,
05/05/2015,06/05/2015 01:00,4.5,,,,
05/05/2015,06/05/2015 01:00,4.5,,,,
05/05/2015,06/05/2015 01:00,3.75,,,,
05/05/2015,06/05/2015 01:00,3.75,,,,
05/05/2015,07/05/2015 01:00,26.25,,,,
05/05/2015,07/05/2015 01:00,26.25,,,,
06/05/2015,07/05/2015 01:00,17.25,,,,
06/05/2015,07/05/2015 01:00,14,,,,
06/05/2015,07/05/2015 01:00,14,,,,
06/05/2015,07/05/2015 01:00,13,,,,
06/05/2015,07/05/2015 01:00,11.5,,,,
06/05/2015,07/05/2015 01:00,11.5,,,,
06/05/2015,07/05/2015 01:00,11.5,,,,
06/05/2015,07/05/2015 01:00,11,,,,
06/05/2015,07/05/2015 01:00,10.5,,,,
06/05/2015,07/05/2015 01:00,9.75,,,,
06/05/2015,07/05/2015 01:00,9.75,,,,
06/05/2015,07/05/2015 01:00,7.5,,,,
06/05/2015,07/05/2015 01:00,7,,,,
06/05/2015,07/05/2015 01:00,6.5,,,,
06/05/2015,07/05/2015 01:00,6.5,,,,
06/05/2015,07/05/2015 01:00,6.25,,,,
06/05/2015,07/05/2015 01:00,5.75,,,,
06/05/2015,07/05/2015 01:00,5.75,,,,
06/05/2015,07/05/2015 01:00,4.75,,,,
06/05/2015,07/05/2015 01:00,4,,,,
06/05/2015,07/05/2015 01:00,3.75,,,,
06/05/2015,07/05/2015 01:00,3.75,,,,
06/05/2015,07/05/2015 01:00,3.5,,,,
06/05/2015,08/05/2015 01:00,27.25,,,,
06/05/2015,07/05/2015 00:00,1.25,,,,
06/05/2015,08/05/2015 01:00,26,,,,
06/05/2015,07/05/2015 02:15,2.5,,,,
07/05/2015,07/05/2015 10:00,9.75,,,,
07/05/2015,07/05/2015 12:45,10.75,,,,
07/05/2015,08/05/2015 01:00,16,,,,
07/05/2015,08/05/2015 01:00,15,,,,
07/05/2015,07/05/2015 11:45,1.5,,,,
07/05/2015,08/05/2015 01:00,13.5,,,,
07/05/2015,08/05/2015 01:00,12.5,,,,
07/05/2015,08/05/2015 01:00,12.5,,,,
07/05/2015,08/05/2015 01:00,12.25,,,,
07/05/2015,08/05/2015 01:00,10.5,,,,
07/05/2015,08/05/2015 01:00,7,,,,
07/05/2015,08/05/2015 01:00,5.75,,,,
07/05/2015,08/05/2015 01:00,5.75,,,,
07/05/2015,09/05/2015 01:00,27.25,,,,
07/05/2015,09/05/2015 01:00,26.25,,,,
07/05/2015,09/05/2015 01:00,26.25,,,,
07/05/2015,09/05/2015 01:00,26,,,,
08/05/2015,09/05/2015 01:00,21.5,,,,
08/05/2015,09/05/2015 01:00,19,,,,
08/05/2015,09/05/2015 01:00,17.25,,,,
08/05/2015,09/05/2015 01:00,16.75,,,,
08/05/2015,09/05/2015 01:00,16.5,,,,
08/05/2015,09/05/2015 01:00,15,,,,
08/05/2015,09/05/2015 01:00,12,,,,
08/05/2015,09/05/2015 01:00,10.5,,,,
08/05/2015,09/05/2015 01:00,10.5,,,,
08/05/2015,09/05/2015 01:00,9.75,,,,
08/05/2015,09/05/2015 01:00,8.75,,,,
08/05/2015,09/05/2015 01:00,8.5,,,,
08/05/2015,09/05/2015 01:00,7,,,,
08/05/2015,09/05/2015 01:00,6.75,,,,
08/05/2015,09/05/2015 01:00,6.75,,,,
08/05/2015,09/05/2015 01:00,6,,,,
08/05/2015,09/05/2015 01:00,4.5,,,,
08/05/2015,10/05/2015 01:00,25.25,,,,
09/05/2015,10/05/2015 01:00,24.75,,,,
09/05/2015,10/05/2015 01:00,24.5,,,,
09/05/2015,10/05/2015 01:00,23.25,,,,
09/05/2015,10/05/2015 01:00,15.75,,,,
09/05/2015,10/05/2015 01:00,15.5,,,,
