Start Date,End Date,Duration (hours),Wind (GWh),Solar (GWh),Total Generated,RES
20/06/2015,21/06/2015,32.07,400.947,0,1967.228,3
22/06/2015,22/06/2015,12.05,400.947,0,1967.228,3
29/01/2016,30/01/2016,24.37,777.966,0,2527.722,4
09/09/2016,10/09/2016,8.98,535.781,0,2303.887,3
10/09/2016,11/09/2016,23.98,535.781,0,2303.887,3
11/09/2016,23/12/2016,2471.98,535.781,0,2303.887,3
17/03/2017,24/03/2017,163.72,774.325,0,2566.745,4
31/05/2017,02/06/2017,47.98,467.566,0,2257.579,3
28/02/2018,30/03/2018,716.22,783.931,0,2398.406,4
21/04/2018,23/04/2018,51.98,704.743,0,2414.448,3
29/07/2018,30/07/2018,25,336.498,0,2367.75,2
04/11/2018,05/11/2018,7,1023.995,0,2568.753,4
05/11/2018,06/11/2018,23.98,1023.995,0,2568.753,4
06/11/2018,07/11/2018,23.98,1023.995,0,2568.753,4
18/03/2020,21/03/2020,89.88,1162.977,0,2669.029,5
10/07/2020,10/07/2020,17.17,761.876,0,2450.105,4
02/01/2021,02/01/2021,10.67,951.243,0,2843.229,4
08/09/2021,09/09/2021,16,520.881,0,2331.102,3
09/09/2021,10/09/2021,16,520.881,0,2331.102,3
10/09/2021,10/09/2021,10,520.881,0,2331.102,3
10/09/2021,10/09/2021,0.75,520.881,0,2331.102,3
11/09/2021,11/09/2021,12,520.881,0,2331.102,3
12/09/2021,12/09/2021,9,520.881,0,2331.102,3
13/09/2021,13/09/2021,13,520.881,0,2331.102,3
14/09/2021,14/09/2021,15,520.881,0,2331.102,3
15/09/2021,15/09/2021,15,520.881,0,2331.102,3
16/09/2021,16/09/2021,5,520.881,0,2331.102,3
17/09/2021,17/09/2021,2,520.881,0,2331.102,3
17/09/2021,17/09/2021,0.75,520.881,0,2331.102,3
17/09/2021,17/09/2021,0.75,520.881,0,2331.102,3
17/09/2021,17/09/2021,7.75,520.881,0,2331.102,3
17/09/2021,18/09/2021,1.75,520.881,0,2331.102,3
18/09/2021,18/09/2021,0.75,520.881,0,2331.102,3
18/09/2021,18/09/2021,12,520.881,0,2331.102,3
18/09/2021,18/09/2021,1.75,520.881,0,2331.102,3
19/09/2021,19/09/2021,1,520.881,0,2331.102,3
19/09/2021,19/09/2021,12,520.881,0,2331.102,3
19/09/2021,20/09/2021,0.75,520.881,0,2331.102,3
20/09/2021,21/09/2021,16,520.881,0,2331.102,3
21/09/2021,21/09/2021,0.75,520.881,0,2331.102,3
21/09/2021,21/09/2021,15,520.881,0,2331.102,3
21/09/2021,22/09/2021,0.75,520.881,0,2331.102,3
22/09/2021,22/09/2021,11,520.881,0,2331.102,3
22/09/2021,22/09/2021,0.75,520.881,0,2331.102,3
22/09/2021,22/09/2021,0.75,520.881,0,2331.102,3
23/09/2021,23/09/2021,0.75,520.881,0,2331.102,3
23/09/2021,23/09/2021,13,520.881,0,2331.102,3
23/09/2021,23/09/2021,0.75,520.881,0,2331.102,3
24/09/2021,24/09/2021,1,520.881,0,2331.102,3
24/09/2021,24/09/2021,2.75,520.881,0,2331.102,3
24/09/2021,24/09/2021,0.75,520.881,0,2331.102,3
24/09/2021,24/09/2021,0.75,520.881,0,2331.102,3
24/09/2021,24/09/2021,1.75,520.881,0,2331.102,3
24/09/2021,25/09/2021,0.75,520.881,0,2331.102,3
26/09/2021,26/09/2021,1,520.881,0,2331.102,3
26/09/2021,26/09/2021,5.75,520.881,0,2331.102,3
26/09/2021,27/09/2021,0.75,520.881,0,2331.102,3
28/09/2021,28/09/2021,1,520.881,0,2331.102,3
28/09/2021,28/09/2021,7.75,520.881,0,2331.102,3
28/09/2021,28/09/2021,1.75,520.881,0,2331.102,3
28/09/2021,28/09/2021,1.75,520.881,0,2331.102,3
28/09/2021,28/09/2021,0.75,520.881,0,2331.102,3
04/10/2021,04/10/2021,1,956.485,0,2583.03,4
