Start Date,End Date,Duration (hours),Max Temperature (C),Min Temperature (C),Mean Wind Speed (knot),Global Radiation (j/cm sq.),Relative Humidity (%),Max Temperarture Rarity,Min Temperature Rarity,Mean Wind Speed Rarity,Global Radiation Rarity,Relative Humidity Rarity
20/06/2015,21/06/2015,32.07,19.56,11.62,10.2,2087.2,78.2,1.139,1.476,3.015,0.764,2.452
22/06/2015,22/06/2015,12.05,17.64,7.86,7.42,2235,73.4,2.422,4.375,4.058,0.553,0.864
29/01/2016,30/01/2016,24.37,11.34,4.82,19.64,302.6,73.6,3.162,3.251,0.059,2.133,0.912
09/09/2016,10/09/2016,8.98,17.88,11.38,13.24,454.2,84.8,2.23,1.677,1.093,3.146,3.802
10/09/2016,11/09/2016,23.98,16.8,10.5,8.48,1168.4,76.2,3.088,2.388,4.714,3.771,1.623
11/09/2016,23/12/2016,2471.98,17.78,10.2,15.44,1038.6,80.8,2.284,2.624,0.416,4.275,3.871
17/03/2017,24/03/2017,163.72,11.28,3.46,16.66,317.2,87.4,3.101,2.365,0.259,2.267,2.334
31/05/2017,02/06/2017,47.98,18.14,6.8,8.94,1834.2,80.4,2.016,4.798,4.236,1.379,3.66
28/02/2018,30/03/2018,716.22,-0.12,-4.48,13.58,778.6,76,0.003,0.009,0.956,4.655,1.534
21/04/2018,23/04/2018,51.98,16.54,3.56,7.02,2068.4,73.8,3.3,2.424,3.572,0.809,0.964
29/07/2018,30/07/2018,25,18.46,9.96,6.72,1554.6,78,1.825,2.829,3.23,2.28,2.36
04/11/2018,05/11/2018,7,11.9,7.42,7.36,395.6,83,3.579,4.712,3.982,2.86,4.887
05/11/2018,06/11/2018,23.98,11.4,8.28,5.78,212.8,93,3.221,4.036,2.101,1.263,0.367
06/11/2018,07/11/2018,23.98,12.5,7.24,10.84,212.2,89,4.097,4.846,2.519,1.251,1.569
18/03/2020,21/03/2020,89.88,7.98,3.12,6.58,668.8,77.4,1.058,2.184,3.064,4.207,2.094
10/07/2020,10/07/2020,17.17,17,8.04,8.04,2115.6,75.4,2.91,4.24,4.815,0.725,1.341
02/01/2021,02/01/2021,10.67,5,-1.12,6.14,203.2,90,0.232,0.229,2.529,1.167,1.144
08/09/2021,09/09/2021,16,21.5,14.76,5.12,662,87.6,0.401,0.131,1.364,4.169,2.218
09/09/2021,10/09/2021,16,20.82,15.86,4.18,964.6,93,0.585,0.021,0.493,4.542,0.367
10/09/2021,10/09/2021,10,19.16,14.08,7.16,716.8,91.2,1.401,0.288,3.772,4.397,0.722
10/09/2021,10/09/2021,0.75,19.16,14.08,7.16,716.8,91.2,1.401,0.288,3.772,4.397,0.722
11/09/2021,11/09/2021,12,18.56,11.8,6.28,1076.6,82.2,1.752,1.371,2.732,4.113,4.654
12/09/2021,12/09/2021,9,15.3,10.06,4.1,614.2,86,4.148,2.763,0.419,3.967,3.095
13/09/2021,13/09/2021,13,17.66,9.72,5.68,569.2,91.2,2.404,3.012,1.998,3.734,0.722
14/09/2021,14/09/2021,15,19.62,14.08,4.52,972.2,88,1.096,0.288,0.772,4.519,2.032
15/09/2021,15/09/2021,15,18.1,11.52,4.52,697.4,87,2.05,1.564,0.772,4.34,2.561
16/09/2021,16/09/2021,5,18.68,10.12,8.54,655.6,87.2,1.671,2.692,4.649,4.141,2.449
17/09/2021,17/09/2021,2,18.66,11.48,6.66,952.2,85.2,1.684,1.608,3.156,4.599,3.56
