Outage Start,Outage End,Duration (hours),Weather Event Date,Weather Event,Wind scale,RES
13/11/2015,13/11/2015 04:45,1.5,12/11/2015,Abigail,Storm,4
13/11/2015,13/11/2015 20:15,7.25,12/11/2015,Abigail,Storm,4
13/11/2015,13/11/2015 17:00,3.5,12/11/2015,Abigail,Storm,4
13/11/2015,16/11/2015 13:30,68.5,12/11/2015,Abigail,Storm,4
13/11/2015,13/11/2015 23:00,3,12/11/2015,Abigail,Storm,4
16/11/2015,16/11/2015 06:00,2.25,12/11/2015,Abigail,Storm,4
16/11/2015,19/11/2015 08:45,67.25,12/11/2015,Abigail,Storm,4
16/11/2015,17/11/2015 11:45,14.75,12/11/2015,Abigail,Storm,4
17/11/2015,17/11/2015 16:45,0.75,17/11/2015,Barney,Storm,4
17/11/2015,17/11/2015 17:30,1,17/11/2015,Barney,Storm,4
17/11/2015,17/11/2015 17:45,1,17/11/2015,Barney,Storm,4
17/11/2015,17/11/2015 18:00,1,17/11/2015,Barney,Storm,4
17/11/2015,17/11/2015 18:30,1,17/11/2015,Barney,Storm,4
17/11/2015,17/11/2015 19:30,1.25,17/11/2015,Barney,Storm,4
17/11/2015,18/11/2015 09:30,14.25,17/11/2015,Barney,Storm,4
18/11/2015,18/11/2015 15:00,2.5,17/11/2015,Barney,Storm,4
18/11/2015,19/11/2015 10:15,19.5,17/11/2015,Barney,Storm,4
18/11/2015,18/11/2015 23:45,1.75,17/11/2015,Barney,Storm,4
18/11/2015,19/11/2015 19:00,21,17/11/2015,Barney,Storm,4
19/11/2015,19/11/2015 14:30,6,17/11/2015,Barney,Storm,4
21/11/2015,21/11/2015 19:15,1,17/11/2015,Barney,Storm,4
22/11/2015,23/11/2015 13:30,19,17/11/2015,Barney,Storm,4
23/11/2015,25/11/2015 19:15,55.75,17/11/2015,Barney,Storm,4
23/11/2015,24/11/2015 14:30,27,17/11/2015,Barney,Storm,4
23/11/2015,23/11/2015 16:45,3.25,17/11/2015,Barney,Storm,4
23/11/2015,24/11/2015 17:30,23.75,17/11/2015,Barney,Storm,4
23/11/2015,25/11/2015 21:00,48.25,17/11/2015,Barney,Storm,4
23/11/2015,24/11/2015 04:00,6.25,17/11/2015,Barney,Storm,4
24/11/2015,24/11/2015 18:00,9,17/11/2015,Barney,Storm,4
24/11/2015,24/11/2015 17:30,3.25,17/11/2015,Barney,Storm,4
24/11/2015,25/11/2015 10:15,17,17/11/2015,Barney,Storm,4
24/11/2015,11/01/2016 07:30,1141.5,17/11/2015,Barney,Storm,4
29/11/2015,02/12/2015 19:00,90,29/11/2015,Clodagh,Storm,4
29/11/2015,29/11/2015 17:00,8.5,29/11/2015,Clodagh,Storm,4
29/11/2015,29/11/2015 16:15,6,29/11/2015,Clodagh,Storm,4
29/11/2015,29/11/2015 16:30,6.25,29/11/2015,Clodagh,Storm,4
29/11/2015,29/11/2015 19:00,2.5,29/11/2015,Clodagh,Storm,4
30/11/2015,12/12/2015 09:00,280,29/11/2015,Clodagh,Storm,4
01/12/2015,01/12/2015 12:30,1.25,29/11/2015,Clodagh,Storm,4
