Weather Event Date,Weather Event,Wind scale,Outage Start,Outage End,Duration (hours),RES
2016-01-29,Gertrude,Storm,2016-01-29,2016-01-30 05:29:00,24.37,4
2020-12-26,Bella,Gale,2021-01-02,2021-01-02 20:40:00,10.67,4
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 08:00:00,1.0,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 09:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 10:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 11:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 12:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 13:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 15:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 16:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 21:00:00,2.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 22:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-23 23:00:00,0.75,5
2023-02-17,Otto,Gale,2023-02-23,2023-02-24 00:00:00,0.75,5
2024-04-06,Kathleen,Strong Gale,2024-04-08,2024-04-08 09:00:00,1.0,5
2024-04-06,Kathleen,Strong Gale,2024-04-08,2024-04-08 13:00:00,3.75,5
2024-04-06,Kathleen,Strong Gale,2024-04-08,2024-04-08 14:00:00,0.75,5
2024-04-06,Kathleen,Strong Gale,2024-04-08,2024-04-08 15:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 09:00:00,1.0,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 10:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 11:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 12:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 13:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-25,2024-04-25 14:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 11:00:00,1.0,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 12:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 19:00:00,1.0,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 21:00:00,1.0,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 22:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-26 23:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-26,2024-04-27 00:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-30,2024-04-30 08:00:00,1.0,5
2024-04-23,Lilian,Gale,2024-04-30,2024-04-30 11:00:00,2.75,5
2024-04-23,Lilian,Gale,2024-04-30,2024-04-30 12:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-30,2024-04-30 13:00:00,0.75,5
2024-04-23,Lilian,Gale,2024-04-30,2024-04-30 23:00:00,1.0,5
